Time (h),V_analytical (L),X_mean (g/L),X_std (g/L),X_lower95 (g/L),X_upper95 (g/L),X_sig_total (g/L),S_mean (g/L),S_std (g/L),S_lower95 (g/L),S_upper95 (g/L),S_sig_total (g/L),P_mean (g/L),P_std (g/L),P_lower95 (g/L),P_upper95 (g/L),P_sig_total (g/L),M_mean (g/L),M_std (g/L),M_lower95 (g/L),M_upper95 (g/L),M_sig_total (g/L),O2_mean (mg/L),O2_std (mg/L),O2_lower95 (mg/L),O2_upper95 (mg/L),O2_sig_total (mg/L)
60.0,21520.0,69.7063,1.4581169,67.33765,72.10207,2.9365408,55.298637,2.229989,51.295383,59.850834,3.010278,56.594234,0.8616908,55.060143,58.163906,2.241713,94.14071,1.5253131,91.35669,96.50492,3.7652397,2.972974,0.06453941,2.8625238,3.1099763,0.12642717
61.0,21712.0,69.89534,1.4151832,67.53312,71.9206,2.9215062,56.174194,2.3515117,52.089745,60.609833,3.1223447,56.87475,0.7644144,55.433235,58.406948,2.2157743,93.69005,1.5781983,90.77398,96.34696,3.771999,2.9783502,0.0730767,2.867747,3.1236534,0.13115442
62.0,21904.0,69.9418,1.517029,67.39524,72.74656,2.9736376,57.028065,2.327256,52.968678,60.9226,3.1248677,56.927124,0.7705011,55.752323,58.39343,2.2196777,93.37759,1.6239172,90.3484,96.12223,3.7810333,2.9772875,0.050599463,2.8786206,3.055694,0.12005466
63.0,22096.0,70.08596,1.4988761,67.26264,72.30207,2.9689667,57.775368,2.3601155,53.455227,62.044594,3.1675766,57.13529,1.0637418,55.554733,59.4429,2.3444812,92.97029,1.6039011,90.025406,95.68278,3.7590046,2.9468753,0.054946434,2.8407643,3.0496733,0.12095873
64.0,22288.0,70.04685,1.4593182,67.150826,72.67118,2.9479513,58.58728,2.388376,54.601524,63.40118,3.2084365,57.294193,0.9874296,55.753193,59.34178,2.3161125,92.48082,1.5927689,89.79199,95.13467,3.7380683,2.9534812,0.08265433,2.7835188,3.095665,0.13599913
65.0,22480.0,70.21878,1.5141757,67.71619,72.94438,2.9809027,59.443886,2.483985,54.539604,64.18303,3.3007727,57.38445,0.8547131,55.768433,58.69291,2.2657747,92.025955,1.5691446,89.28766,94.493126,3.7129817,2.9585226,0.0664035,2.8212907,3.0623586,0.1269382
66.0,22672.0,70.53834,1.4086895,67.96288,72.89681,2.93898,60.109123,2.536987,54.622253,64.25555,3.3567197,57.64841,0.8593928,56.0484,59.23772,2.2764792,91.60914,1.6657717,88.51568,94.34186,3.7411854,2.9574041,0.06500306,2.8275383,3.0596676,0.12617616
67.0,22864.0,70.670586,1.7646854,67.12912,73.21124,3.1292622,61.024345,2.737599,54.755882,65.56908,3.5318484,57.805122,0.71354544,56.76194,59.27204,2.2309508,91.198456,1.6530848,88.22086,93.71817,3.7220924,2.9607875,0.0802913,2.822499,3.0785913,0.13479057
68.0,23056.0,70.709404,1.6625183,67.55276,73.35967,3.0739996,62.001205,2.730153,55.92316,66.62784,3.548794,57.868748,0.6930726,56.400467,58.758953,2.2266982,90.737686,1.6035659,87.81146,93.19847,3.6851883,2.9625852,0.075871296,2.8094168,3.0841467,0.1322592
69.0,23248.0,71.26006,1.5743546,68.02876,73.88279,3.044443,62.77882,2.6730917,57.210274,68.016685,3.5235448,58.10656,0.6347843,57.123135,59.426582,2.217581,90.27007,1.6870565,87.21317,92.814896,3.7070434,2.9399219,0.05977729,2.7973664,3.0146072,0.123006076
70.0,23440.0,71.544464,1.9500192,68.76351,75.24173,3.2629623,63.292526,2.7881076,56.90858,68.496155,3.6235466,58.555027,0.82261324,57.176918,60.0031,2.2937665,89.89698,1.7771977,86.71841,92.75431,3.7369187,2.919285,0.04829246,2.8247461,2.989941,0.11716506
71.0,23632.0,71.66406,2.2119868,66.39197,74.9889,3.4293053,64.17189,2.7263417,57.866425,69.32511,3.5971324,58.674255,0.7614481,57.054245,60.17482,2.2766566,89.519264,1.7175854,86.21729,92.481186,3.696703,2.9381573,0.063385636,2.8400686,3.0476599,0.12474391
72.0,23824.0,71.902084,2.0281086,68.68113,76.17586,3.3205674,64.97875,2.8100455,59.141243,70.158646,3.6799617,58.720753,0.92789763,57.3137,60.41731,2.3391569,89.03519,1.7361991,85.74356,91.75967,3.6897595,2.9300237,0.06871725,2.8301687,3.080519,0.12728529
73.0,24016.0,71.8225,2.0322218,67.15191,75.03312,3.3207788,65.79471,2.8035212,60.50527,71.232414,3.6943436,58.671276,0.87918395,57.29027,60.53348,2.31859,88.619064,1.7946168,85.445,91.679474,3.7042863,2.9458475,0.064768225,2.828444,3.0550654,0.125693
74.0,24208.0,71.91618,1.8541778,68.78733,74.65504,3.2177057,66.685455,2.8887794,61.16799,72.51726,3.7803812,58.617134,0.8986705,56.721455,60.312176,2.324223,88.10916,1.8401064,84.7734,91.36576,3.7103348,2.9387138,0.072046705,2.800627,3.059773,0.12937698
75.0,24400.0,72.20864,1.9460825,69.05859,75.60853,3.28013,67.33129,2.9161355,61.379124,72.781006,3.816519,58.903538,0.9688576,57.47278,60.369865,2.361799,87.54832,1.7795142,84.47805,90.677765,3.6627219,2.91673,0.081640035,2.7208095,3.0299852,0.13431548
